index,Litres
0,18263.5384667216
1,18258.136744189138
2,18227.976833681743
3,18227.976833681743
4,18170.275977846777
5,18170.275977846777
6,18170.275977846777
7,18170.275977846777
8,18123.192029760416
9,18123.192029760416
10,18123.192029760416
11,18123.192029760416
12,18285.736815988606
13,18285.736815988606
14,18285.736815988606
15,18285.736815988606
16,18285.736815988606
17,18201.295114101253
18,18201.295114101253
19,18201.295114101253
20,18201.295114101253
21,18310.149730688383
22,18356.22802864289
23,18356.22802864289
24,18356.22802864289
25,18567.079357528735
26,18567.079357528735
27,18567.079357528735
28,18567.079357528735
29,18567.079357528735
30,19130.257354043373
31,19048.97674930894
32,19048.97674930894
33,19176.33565199788
34,18567.079357528735
35,18567.079357528735
36,18567.079357528735
37,18567.079357528735
38,18567.079357528735
39,18144.790051733875
40,18144.790051733875
41,18144.790051733875
42,18144.790051733875
43,18160.408776316002
44,18160.408776316002
45,18160.408776316002
46,18160.408776316002
47,18136.066402750002
48,18136.066402750002
49,18136.066402750002
50,18136.066402750002
51,18136.066402750002
52,17968.077600742778
53,17962.675878210313
54,17957.744742642804
55,17957.744742642804
56,17900.043886807838
57,17900.043886807838
58,17900.043886807838
59,17900.043886807838
60,17955.495301066312
61,17955.495301066312
62,17955.495301066312
63,17955.495301066312
64,17995.458231903423
65,17995.458231903423
66,17995.458231903423
67,17995.458231903423
68,17995.458231903423
69,17928.704099254668
70,17928.704099254668
71,17928.704099254668
72,17928.704099254668
73,17982.813581290644
74,17982.319394488528
75,17982.319394488528
76,17982.319394488528
77,18378.21603097956
78,18378.21603097956
79,18378.21603097956
80,18378.21603097956
81,18378.21603097956
82,18918.525869155743
83,18871.420157702974
84,18871.420157702974
85,18918.031682353627
86,18378.21603097956
87,18378.21603097956
88,18378.21603097956
89,18378.21603097956
90,18378.21603097956
91,17891.84035479834
92,17891.84035479834
93,17891.84035479834
94,17891.84035479834
95,17898.751108320448
96,17898.751108320448
97,17898.751108320448
98,17898.751108320448
99,17886.044152012157
100,17886.044152012157
101,17886.044152012157
102,17886.044152012157
103,17886.044152012157
104,17171.321308755243
105,17165.91958622278
106,17160.98845065527
107,17160.98845065527
108,17103.287594820304
109,17103.287594820304
110,17103.287594820304
111,17103.287594820304
112,17207.670417643043
113,17207.670417643043
114,17207.670417643043
115,17207.670417643043
116,17247.633348480158
117,17247.633348480158
118,17247.633348480158
119,17247.633348480158
120,17247.633348480158
121,17180.8792158314
122,17180.8792158314
123,17180.8792158314
124,17180.8792158314
125,17234.988697867375
126,17234.494511065262
127,17234.494511065262
128,17234.494511065262
129,17498.34387543945
130,17498.34387543945
131,17498.34387543945
132,17498.34387543945
133,17498.34387543945
134,18046.49410769285
135,17918.641018201797
136,17918.641018201797
137,18045.999920890736
138,17498.34387543945
139,17498.34387543945
140,17498.34387543945
141,17498.34387543945
142,17498.34387543945
143,17144.015471375074
144,17144.015471375074
145,17144.015471375074
